범죄분류,발생건수(건),검거건수(건),남자검거인원(명),여자검거인원(명),미상검거인원(명),법인(개)
절도,176273,107226,76660,24955,395,6
불법사용,538,439,631,29,0,0
침입절도,6754,5960,3073,216,3,0
장물,1716,1699,2584,475,8,1
사기,224984,180089,158440,45189,2317,582
컴퓨터등사용사기,4008,1643,1582,398,25,4
부당이득,41,32,41,11,4,1
편의시설부정이용,695,512,529,107,14,22
전기통신금융사기피해금환급에관한특별법,2336,1229,983,378,13,2
보험사기방지특별법,1225,1193,1836,786,2,0
횡령,50332,25524,26057,7524,461,51
배임,3425,3070,5298,1284,188,46
배임수재,235,220,801,66,3,0
배임증재,39,34,374,26,18,1
손괴,56203,32057,30103,4767,303,10
손괴치상,2,2,2,0,0,0
살인(기수),274,276,254,59,2,0
"살인(미수, 예비, 음모, 방조)",544,544,512,74,3,0
강도,609,616,751,80,5,0
강도상해,294,296,495,57,2,0
강도치상,18,17,24,1,0,0
강도강간/강제추행,19,21,19,0,2,0
강도살인,25,25,26,4,0,0
일반방화,1314,1188,1010,209,0,0
방화치상,22,20,20,4,0,0
방화치사,12,10,11,2,0,0
강간,5202,5110,5813,79,8,0
강제추행,15773,15202,15748,469,18,3
간음,258,255,315,6,0,0
"강간등(강간,준강간,간음,강제추행,준강제추행)",139,137,180,3,0,0
강간등상해,218,214,222,3,0,0
강간등치상,485,483,514,9,0,0
강간등살인,7,7,7,0,0,0
특수강도강간등,33,37,41,0,0,0
카메라등 이용촬영,6465,6220,5162,167,46,0
성적목적의 장소침입,414,395,391,4,0,0
통신매체 이용음란,1249,1142,1167,72,8,0
공중밀집장소 추행,1990,1839,1857,12,1,0
폭행,162879,154989,185286,39012,1339,8
폭행치상,1517,1477,1640,350,2,0
폭행치사,57,57,53,13,0,0
상해,48583,47316,60811,12221,226,11
상해치사,64,63,77,11,0,0
협박,15634,14833,15139,1901,164,7
공갈,4709,3553,4579,698,42,0
약취/유인,202,187,193,83,4,0
수수/은닉,0,0,1,0,0,0
인신매매,3,3,7,0,0,0
체포,39,37,55,14,2,0
체포치상,2,3,17,3,0,0
감금,1477,1424,1876,460,47,1
감금치상,115,117,136,31,0,0
감금치사,1,1,1,0,0,0
"폭력행위등(손괴,강요,주거침입등)",799,757,2264,566,54,2
"폭력행위등(단체등의구성, 활동)",128,118,574,20,1,0
통화,2793,531,508,22,29,0
유가증권·인지·우표,217,161,291,52,14,0
문서,10647,9161,11219,4178,308,86
인장,460,373,443,69,13,1
직무유기,504,277,540,121,176,10
직권남용,487,305,589,78,175,5
수뢰,249,232,701,84,12,5
증뢰,62,57,334,21,1,0
도박,8283,8140,19295,3944,35,1
복표,2,2,3,0,0,0
신앙,307,248,391,91,36,0
공연음란,3018,2493,2424,54,6,0
과실치상,2504,2218,1747,773,45,0
과실치사,44,39,37,22,3,0
업무상과실치상,1993,1902,2398,532,45,19
업무상과실치사,1025,1023,1683,199,27,15
실화,2296,1840,1615,405,4,0
명예,25039,20640,20992,8331,2252,26
권리행사방해,11722,9733,9935,2778,87,12
신용업무경매,21999,21475,23582,4462,476,37
주거침입,11830,8903,8429,2345,96,0
비밀침해,97,58,55,23,25,1
유기,273,131,50,148,1,1
유기치상,0,0,0,1,0,0
유기치사,25,23,17,19,0,0
교통방해,1240,1177,1309,228,12,0
공무방해,12339,12217,12355,1908,41,7
공무방해치상,150,146,145,11,0,0
도주와범인은닉,109,106,464,183,0,0
위증과증거인멸,2003,1711,1948,703,39,4
무고,3690,3014,2992,1719,121,4
공안을해하는죄,43,35,151,33,5,0
내란의죄,4,2,2,1,0,0
음용수에관한죄,17,15,22,0,1,0
일수와수리에관한죄,7,5,7,0,0,0
기타,30,27,27,35,0,0
가정폭력범죄의 처벌등에 관한특례법,196,192,184,8,0,0
가축분뇨의 관리 및 이용에 관한법률,505,501,506,54,10,57
감염병의 예방 및 관리에 관한법률,110,110,69,147,3,7
개발제한구역의 지정 및 관리에 관한 특별조치법,800,788,1006,365,11,28
개인정보보호법,1082,907,1101,500,96,65
건강기능식품에 관한법률,362,363,396,371,2,50
건설기계관리법,538,530,714,20,16,80
건설산업기본법,3086,3044,4483,774,74,601
건축법,4284,4223,3884,1649,65,381
게임산업진흥에 관한법률,7192,6999,7942,1732,18,4
결혼중개업의 관리에 관한법률,73,67,67,51,3,1
경범죄처벌법,6479,6199,5883,695,8,0
고용보험법,2260,2248,2149,1886,13,152
공유수면관리 및 매립에 관한법률,117,111,105,43,4,14
공유재산 및 물품관리법,116,110,133,41,1,0
공인중개사법,852,800,912,563,12,3
공중위생관리법,1148,1087,583,626,9,15
공직선거법,607,557,530,137,2,1
관세법,9,7,25,4,3,1
교통사고처리특례법,185459,181005,146884,41900,154,10
국가기술자격법,128,125,304,46,4,52
국가보안법,42,38,43,12,0,0
국민체육진흥법,436,414,717,45,4,0
국토의계획 및 이용에 관한법률,1496,1462,1703,379,40,153
근로기준법,28,18,31,3,0,0
근로자퇴직 급여보장법,1,1,3,0,0,0
낚시관리 및 육성법,40,40,35,11,1,0
노동조합 및 노동관계 조정법,6,3,7,2,1,0
농수산물유통 및 가격안정에 관한법률,31,31,35,9,0,4
농수산물의 원산지표시에 관한법률,291,290,292,123,5,28
농지법,796,761,889,253,19,44
대기환경보전법,1194,1192,1243,106,82,572
대부업등의 등록 및 금융이용자 보호에 관한법률,1233,1062,1654,413,35,15
도로교통법,17229,14909,15690,1547,53,189
도로교통법(무면허운전),46908,46772,44929,3820,4,11
도로교통법(사고후미조치),50206,26404,22402,4624,525,11
도로교통법(음주운전),178605,177983,160618,19441,2,2
